invoice_number,rule_triggered,risk_score,explanation,recommended_action,financial_value,risk_tier
INV0013611,New Vendor Fast Payment,9,"Invoice INV0013611 for ₹306,284 was received from vendor VEND0313 only 3 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,306283.92,Critical
INV0013658,New Vendor Fast Payment,9,"Invoice INV0013658 for ₹696,994 was received from vendor VEND0311 only 4 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,696994.08,Critical
INV0013638,New Vendor Fast Payment,9,"Invoice INV0013638 for ₹1,565,853 was received from vendor VEND0307 only 7 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,1565853.46,Critical
INV0013615,New Vendor Fast Payment,9,"Invoice INV0013615 for ₹1,854,718 was received from vendor VEND0315 only 5 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,1854718.34,Critical
INV0013619,New Vendor Fast Payment,9,"Invoice INV0013619 for ₹461,496 was received from vendor VEND0305 only 5 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,461495.81,Critical
INV0013620,New Vendor Fast Payment,9,"Invoice INV0013620 for ₹259,605 was received from vendor VEND0314 only 3 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,259604.67,Critical
INV0013628,New Vendor Fast Payment,9,"Invoice INV0013628 for ₹1,429,281 was received from vendor VEND0303 only 7 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,1429280.8,Critical
INV0013630,New Vendor Fast Payment,9,"Invoice INV0013630 for ₹1,929,120 was received from vendor VEND0310 only 4 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,1929119.96,Critical
INV0013637,New Vendor Fast Payment,9,"Invoice INV0013637 for ₹1,681,326 was received from vendor VEND0305 only 6 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,1681326.45,Critical
INV0013655,New Vendor Fast Payment,9,"Invoice INV0013655 for ₹1,426,649 was received from vendor VEND0309 only 7 days after the vendor was created in the system (VENDOR FLAGGED AS POTENTIAL GHOST VENDOR). New vendors transacting immediately are a primary ghost vendor indicator.",Verify vendor legitimacy with external business registration check. Confirm bank account details with vendor via independent channel. Review who created this vendor and whether they also processed the invoice (SoD violation).,1426648.81,Critical
