invoice_number,invoice_date,due_date,payment_date,vendor_id,po_number,gr_number,invoice_amount,tax_amount,total_amount,invoice_status,cost_centre,department,composite_risk_score,risk_tier,ml_component,rule_component,value_component,rule_triggered,rule_risk_score,full_explanation,tier_recommended_action,anomaly_flag,anomaly_type,iso_score,ae_score,ensemble_score,feat_amount_zscore,feat_invoice_to_po_ratio,feat_vendor_age_days,feat_days_to_payment,feat_after_hours,feat_no_po,feat_round_number,shap_explanation
INV0000441,2022-03-17 12:05:00,2022-06-15 17:37:00,2022-06-23 17:37:00,VEND0153,PO000719,GR000441,4855264.06,873947.53,5729211.59,Paid,CC007,Procurement,62.1,High,41.95092901317384,60.0,97.09593633923944,New Vendor Fast Payment,6.0,"Invoice INV0000441 for ₹4,855,264 was received from vendor VEND0153 only -52 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.6199501774149092,0.4602278150633476,0.3495609329154093,1.352014221833768,0.971052812,0,98.0,0,0,0,No single dominant risk factor identified.
INV0000460,2022-04-07 10:59:00,2022-07-06 16:42:00,2022-07-15 16:42:00,VEND0250,PO000749,GR000460,5116797.35,921023.52,6037820.87,Paid,CC008,Marketing,60.0,High,36.29377785020824,60.0,97.84454545681749,New Vendor Fast Payment,6.0,"Invoice INV0000460 for ₹5,116,797 was received from vendor VEND0250 only -10 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5874790698447956,0.4205950955007328,0.302422596359878,1.4201267629238,1.02335947,0,99.0,0,0,0,No single dominant risk factor identified.
INV0001127,2022-03-22 13:50:00,2022-06-20 12:21:00,2022-06-19 12:21:00,VEND0219,PO001812,GR001127,1948384.45,350709.2,2299093.65,Paid,CC007,HR,55.1,High,32.6985936380108,60.0,84.06774464410412,New Vendor Fast Payment,6.0,"Invoice INV0001127 for ₹1,948,384 was received from vendor VEND0219 only -55 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5669406711125881,0.1479784977822544,0.2724656447968486,-1.0219198727431744,0.9797939519719114,0,88.0,0,0,0,No single dominant risk factor identified.
INV0001454,2022-02-11 13:02:00,2022-04-12 14:25:00,2022-04-22 14:25:00,VEND0245,PO002316,GR001454,4899167.59,881850.17,5781017.76,Paid,CC007,IT,61.2,High,39.744621643138686,60.0,97.2243803554661,New Vendor Fast Payment,6.0,"Invoice INV0001454 for ₹4,899,168 was received from vendor VEND0245 only -24 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.6072828587691003,0.4536173530037072,0.3311768282030392,1.4278319246516389,0.979833518,0,70.0,0,0,0,No single dominant risk factor identified.
INV0002044,2023-10-17 14:56:00,2024-01-15 14:20:00,2024-01-23 14:20:00,VEND0218,PO003243,GR002044,2761602.36,497088.42,3258690.78,Paid,CC020,Marketing,55.2,High,29.74528993210084,60.0,89.04480573386769,Near-Duplicate Invoice,6.0,"Invoice INV0002044 (₹2,761,602) is 0.1% different from invoice INV0012403 (₹2,758,950) from the same vendor, posted 10 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.549958290741761,0.2058362718953384,0.2478571766775518,-0.1096769971541199,1.0023539217860375,622,97.0,0,0,0,This invoice was flagged primarily because the amount's leading digit deviates from the expected Benford's Law distribution.
INV0002092,2022-02-25 09:27:00,2022-03-27 13:52:00,2022-03-28 13:52:00,VEND0020,PO003318,GR002092,4902963.59,882533.45,5785497.04,Paid,CC001,HR,56.5,High,27.97252096322029,60.0,97.23543180358377,New Vendor Fast Payment,6.0,"Invoice INV0002092 for ₹4,902,964 was received from vendor VEND0020 only 7 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5397428211429419,0.2952496280826664,0.2330855402331605,1.4284896671496878,0.980592718,7,31.0,0,0,0,No single dominant risk factor identified.
INV0003007,2023-08-02 16:23:00,2023-10-31 15:17:00,2023-11-06 15:17:00,VEND0094,PO004722,GR003007,5006708.33,901207.5,5907915.83,Paid,CC015,HR,55.5,High,25.2363649614113,60.0,97.53420122919782,Near-Duplicate Invoice,6.0,"Invoice INV0003007 (₹5,006,708) is 1.2% different from invoice INV0012930 (₹5,067,128) from the same vendor, posted 7 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.524109448633866,0.0938444916500275,0.2102864601367933,1.5501670804745924,1.0092126039085922,459,95.0,0,0,0,No single dominant risk factor identified.
INV0003170,2022-03-22 18:56:00,2022-06-20 12:34:00,2022-06-18 12:34:00,VEND0060,PO004996,GR003170,3737719.08,672789.43,4410508.51,Paid,CC020,Procurement,57.9,High,33.96268225273734,60.0,93.36342465756042,New Vendor Fast Payment,6.0,"Invoice INV0003170 for ₹3,737,719 was received from vendor VEND0060 only -65 days after the vendor was created in the system. New vendors transacting immediately are a primary ghost vendor indicator.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5741658490285673,0.234296667579289,0.282998690996335,0.5084940945398762,0.9882555612715757,0,87.0,0,0,0,No single dominant risk factor identified.
INV0003351,2023-09-14 14:44:00,2023-10-29 09:25:00,2023-10-29 09:25:00,VEND0104,PO005279,GR003351,4952904.11,891522.74,5844426.85,Paid,CC020,Operations,59.2,High,34.723799676612394,60.0,97.38003416538496,Near-Duplicate Invoice,6.0,"Invoice INV0003351 (₹4,952,904) is 1.7% different from invoice INV0000147 (₹4,868,837) from the same vendor, posted 14 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.578521305829897,0.2732528887004343,0.2893407186797695,1.5870517879603652,0.990580822,599,44.0,0,0,0,No single dominant risk factor identified.
INV0003974,2022-07-19 14:09:00,2022-08-18 09:53:00,2022-08-22 09:53:00,VEND0233,PO006280,GR003974,3191816.27,574526.93,3766343.2,Paid,CC016,Finance,56.0,High,30.45717830455813,60.0,91.1106097571386,Near-Duplicate Invoice,6.0,"Invoice INV0003974 (₹3,191,816) is 0.7% different from invoice INV0004106 (₹3,169,084) from the same vendor, posted 14 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5540405632054772,0.2206039937194807,0.2537890022067233,0.3025713426231795,0.97057289258403,153,33.0,0,0,0,This invoice was flagged primarily because the invoice amount is 0.3 standard deviations from this vendor's historical average.
INV0004696,2023-01-23 15:21:00,2023-04-23 14:29:00,2023-05-01 14:29:00,VEND0245,PO007398,GR004696,3061923.91,551146.3,3613070.21,Paid,CC010,Sales,55.3,High,29.13983574099349,60.0,90.51779410535096,Near-Duplicate Invoice,6.0,"Invoice INV0004696 (₹3,061,924) is 1.0% different from invoice INV0002210 (₹3,031,059) from the same vendor, posted 25 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5465072894134531,0.1400807630833779,0.2428122163066478,-0.0251290483176612,0.9767547892471096,322,97.0,0,0,0,This invoice was flagged primarily because the invoice amount is -0.0 standard deviations from this vendor's historical average.
INV0004830,2023-06-09 12:22:00,2023-07-24 14:03:00,2023-07-28 14:03:00,VEND0245,PO007593,GR004830,4855762.07,874037.17,5729799.24,Paid,CC006,Finance,55.3,High,24.97698278303476,60.0,97.0973998179676,Near-Duplicate Invoice,6.0,"Invoice INV0004830 (₹4,855,762) is 1.8% different from invoice INV0005493 (₹4,942,549) from the same vendor, posted 16 days apart. Small amount difference may be deliberate to evade exact duplicate detection.",Flag for priority review. Notify cost centre owner. Investigate within 5 business days.,0,Normal,0.5225836699704252,0.1859763621556041,0.2081251524275592,1.3935052170635427,0.971152414,459,49.0,0,0,0,No single dominant risk factor identified.
